anio,mes,folio,asesor,monto,diputado,tipo_informe,doc,formulario
2018,3,5629,FUNDACION JAIME GUZMAN,500000,Jorge Alessandri Vergara,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18051,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5629&prmFecha=201803
2018,3,5748,ANDRÉS SALVADOR SILVA LÓPEZ,700000,René Alinco Bustos,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18197,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5748&prmFecha=201803
2018,3,5659,PAULINA GÓMEZ BARBOZA,700000,Jenny Alvarez Vera,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18081,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5659&prmFecha=201803
2018,3,5630,FUNDACION JAIME GUZMAN,700000,Pedro Pablo Alvarez-Salamanca Ramírez,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18052,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5630&prmFecha=201803
2018,3,5631,FUNDACION JAIME GUZMAN,700000,Sandra Amar Mancilla,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18053,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5631&prmFecha=201803
2018,3,5661,JUAN CLAUDIO REYES SALDÍAS,700000,Gabriel Ascencio Mansilla,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18083,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5661&prmFecha=201803
2018,3,5670,MARCO ZEPEDA RISSO,700000,Pepe Auth Stewart,Informe Parcial,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18096,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5670&prmFecha=201803
2018,3,5632,FUNDACION JAIME GUZMAN,500000,Nino Baltolu Rasera,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18054,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5632&prmFecha=201803
2018,3,5633,FUNDACION JAIME GUZMAN,500000,Ramón Barros Montero,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18055,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5633&prmFecha=201803
2018,3,5634,FUNDACION JAIME GUZMAN,700000,Jaime Bellolio Avaria,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18056,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5634&prmFecha=201803
2018,3,5687,BONNIE MARQUEZ JEREZ,700000,Bernardo Berger Fett,Informe Parcial,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18115,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5687&prmFecha=201803
2018,3,5635,FUNDACION JAIME GUZMAN,500000,Sergio Bobadilla Muñoz,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18057,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5635&prmFecha=201803
2018,3,5683,JANNA ALFONSO SAKALHA DÍAZ,500000,Jorge Brito Hasbún,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18111,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5683&prmFecha=201803
2018,3,5714,"NATALIA CARCAMO CATALAN",700000,Miguel Angel Calisto Aguila,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18161,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5714&prmFecha=201803
2018,3,5636,FUNDACION JAIME GUZMAN,500000,Alvaro Carter Fernández,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18058,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5636&prmFecha=201803
2018,3,5866,CONSULTORA ESTRATEGICAMEDIA LIMITADA,1700000,María Loreto Carvajal Ambiado,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18347,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5866&prmFecha=201803
2018,3,5700,ANA MARÍA GAJARDO FIGUEROA,700000,Natalia Castillo Muñoz,Informe Parcial,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18133,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5700&prmFecha=201803
